Date,Open,High,Low,Close,Adj Close,Volume
20121231,122.87,122.97,120.91,121.18,93.01,6423000
20121228,123.14,123.34,122.78,123.31,94.65,3928200
20121227,121.88,123.29,121.83,122.61,94.11,4262700
20121226,121.95,122.21,121.81,122.2,93.8,2247800
20121224,122,122.08,121.87,122.03,93.46,1071100
20121221,122.31,122.43,121.95,122.25,93.63,6087700
20121220,121.29,121.64,120.62,120.93,92.62,4567900
20121219,120.97,121.65,120.72,120.91,92.6,4880500
20121218,121.4,121.78,119.9,120.51,92.3,12024200
20121217,123.5,123.52,121.71,121.75,93.24,6870000
20121214,123.19,123.71,123.08,123.6,94.66,3832800
20121213,122.29,123.18,122.13,122.68,93.96,6381500
20121212,123.83,124.34,122.57,122.59,93.89,7119700
20121211,124.26,124.31,123.83,124.03,94.99,3777900
20121210,124.96,125.08,124.54,124.98,95.72,2134300
20121207,124.5,124.96,124.34,124.43,95.3,4020900
20121206,125.86,126.08,125.51,125.59,96.19,2301200
20121205,125.4,125.81,125.17,125.32,95.98,1978200
20121204,125.02,125.41,124.84,125.38,96.02,2586300
20121203,123.72,124.79,123.62,124.66,95.47,5427800
20121130,125.48,125.54,124.71,124.79,95.39,3702300
20121129,124.86,125.44,124.66,125.13,95.65,2761000
20121128,125.97,126.2,125.09,125.11,95.63,3569700
20121127,124.94,125.39,124.7,125.29,95.77,2544400
20121126,125.16,125.52,124.75,124.8,95.39,2799000
20121123,124.3,124.45,124.11,124.21,94.94,987200
20121121,124.19,124.42,124.02,124.33,95.03,2422800
20121120,125.48,125.67,124.38,124.4,95.09,4659300
20121119,125.46,125.81,125.3,125.66,96.05,3621600
20121116,126.36,127.19,126.28,126.37,96.59,4591100
20121115,126.1,127.02,126,126.48,96.68,5549600
20121114,125.72,126.79,125.6,126.73,96.87,4694600
20121113,126.8,126.82,125.99,126.61,96.78,2863800
20121112,125.84,126.38,125.79,126.19,96.46,2072200
20121109,125.63,125.98,125.18,125.98,96.3,5036900
20121108,123.79,125.86,123.43,125.84,96.19,8579500
20121107,123.95,124.53,123.76,124,94.78,10071000
20121106,122.55,122.86,121.78,121.79,93.09,4484600
20121105,122.82,123.25,122.79,122.95,93.98,2935700
20121102,121.28,122.31,121.24,122.26,93.45,3527800
20121101,122.77,122.88,122.08,122.35,93.52,3659700
20121031,122.68,123.7,122.63,123.36,94.29,5025600
20121026,121.44,122.65,121.27,122.64,93.74,5889400
20121025,120.56,121.54,120.33,120.86,92.38,5292500
20121024,121.86,122.29,121.48,121.48,92.86,6824500
20121023,122.1,122.73,122.02,122.69,93.78,5760600
20121022,121.43,121.84,120.94,120.96,92.46,6910600
20121019,120.34,121.81,120.28,121.74,93.05,7616700
20121018,121.12,121.53,119.87,120.11,91.81,8558600
20121017,121.17,121.26,120.57,120.85,92.37,6932500
20121016,122.9,122.94,121.94,121.98,93.24,5398700
20121015,123.78,124.14,123.43,123.69,94.54,3036100
20121012,124.07,124.78,123.78,123.97,94.76,4934900
20121011,121.96,123.66,121.89,123.66,94.52,5194100
20121010,121.46,122.96,121.26,122.81,93.87,5429800
20121009,121.47,122.18,121.38,121.95,93.21,4752700
20121008,121.98,122.27,121.69,122.17,93.38,1568400
20121005,121.57,121.68,120.92,121.15,92.6,8340700
20121004,123.46,123.8,122.57,122.74,93.82,6214800
20121003,123.86,124.3,123.62,124.29,95,3800900
20121002,123.91,124.52,123.81,124.25,94.97,3540100
20121001,123.97,124.47,123.38,124.42,95.1,4842600
20120928,124.75,125.24,123.81,124.22,94.75,7173400
20120927,124.55,124.8,123.77,124.15,94.7,5147700
20120926,124.56,125.09,124.45,125.04,95.38,7193400
20120925,122.8,123.74,122.13,123.71,94.36,5893500
20120924,122.25,122.7,122.18,122.5,93.44,3627400
20120921,120.75,121.64,120.67,121.55,92.71,4144300
20120920,122.14,122.32,120.98,121.41,92.61,4604200
20120919,121.34,121.38,120.61,121.11,92.38,5903300
20120918,120.71,120.9,119.96,120.32,91.78,5366200
20120917,118.87,119.9,118.8,119.72,91.32,5573300
20120914,119.76,119.85,118.05,118.3,90.24,16871600
20120913,122.39,123.09,120.27,121.53,92.7,12280200
