Date,Open,High,Low,Close,Adj Close,Volume
2015/4/23,127.800003,128.850006,127.610001,128.270004,105.111298,6843400
2015/4/22,129.5,129.550003,127.540001,127.720001,104.660614,9707600
2015/4/21,130.229996,130.449997,129.559998,129.699997,106.283157,4563800
2015/4/20,130.940002,131.009995,129.929993,130.289993,106.766609,4949400
2015/4/17,129.770004,131.699997,129.699997,131.449997,107.717171,7268800
2015/4/16,130.830002,130.860001,129.410004,129.960007,106.49617,7085500
2015/4/15,131.050003,131.270004,130.320007,130.610001,107.028831,4425200
2015/4/14,131.309998,131.860001,130.479996,130.720001,107.118996,6075500
2015/4/13,129.529999,129.979996,129.389999,129.800003,106.365074,4010600
2015/4/10,130.320007,130.449997,129.550003,129.619995,106.217575,4843000
2015/4/9,130.869995,130.919998,129.130005,129.429993,106.061882,6484200
2015/4/8,131.020004,131.360001,130.020004,131.130005,107.454956,5378900
2015/4/7,130.229996,131.220001,129.850006,131.089996,107.422203,4764900
2015/4/6,131.429993,131.479996,129.720001,130,106.528976,5923800
2015/4/2,131.929993,131.970001,130.610001,130.729996,107.127106,6663400
2015/4/1,131.330002,132.479996,131.300003,132.130005,108.274376,9273900
2015/3/31,130.240005,130.960007,129.910004,130.690002,106.870697,6844300
2015/3/30,130.899994,131,130.089996,130.410004,106.641716,7010600
2015/3/27,130.029999,131.130005,129.979996,131.059998,107.173264,7907900
2015/3/26,131.050003,131.139999,129.179993,129.449997,105.856667,9536300
2015/3/25,132.720001,132.759995,131.460007,131.5,107.533066,5635800
2015/3/24,131.830002,132.639999,131.479996,132.619995,108.448914,6713000
2015/3/23,131.699997,131.75,130.990005,131.350006,107.410393,5555500
2015/3/20,131.220001,131.699997,131.139999,131.509995,107.541206,5953800
2015/3/19,131.199997,131.619995,130.270004,130.820007,106.976952,9543800
2015/3/18,129.910004,131.529999,128.610001,131.490005,107.524811,13981900
2015/3/17,128.550003,129.110001,128.279999,129,105.488663,6314000
2015/3/16,127.940002,128.149994,127.269997,127.940002,104.621864,6374600
2015/3/13,126.760002,127.589996,126.489998,126.720001,103.624268,7247200
2015/3/12,128.199997,128.199997,126.720001,127.110001,103.943085,10295900
2015/3/11,126.260002,127.459999,126.120003,127.199997,104.016769,6663100
2015/3/10,125.970001,126.440002,125.760002,126.279999,103.264366,9277900
2015/3/9,124.68,124.870003,124.129997,124.639999,101.923317,8889100
2015/3/6,124.669998,124.830002,122.970001,123.5,100.991081,20022900
2015/3/5,126.529999,126.879997,125.900002,126.290001,103.272552,6045000
2015/3/4,126.940002,127.040001,126.160004,126.449997,103.40345,6478900
2015/3/3,126.889999,127.370003,126.379997,126.410004,103.370689,8599000
2015/3/2,129,129.070007,126.769997,126.870003,103.746895,11324000
2015/2/27,129.020004,129.619995,128.270004,129.529999,105.716011,9225100
2015/2/26,129.699997,130.300003,128.399994,128.449997,104.834534,11020500
2015/2/25,129.460007,130.389999,129.080002,130.229996,106.2873,8019800
2015/2/24,127.650002,129.789993,127.18,129.669998,105.830254,11958300
2015/2/23,127.190002,128.169998,127.160004,127.989998,104.459206,7500500
2015/2/20,127.050003,128.009995,126,126.540001,103.275711,12502500
2015/2/19,126.779999,127.449997,126.169998,126.169998,102.973724,8584800
2015/2/18,126.82,127.739998,126.470001,127.010002,103.65937,14009200
2015/2/17,127.800003,127.93,125.919998,126.260002,103.047241,14968800
2015/2/13,129.509995,129.529999,128.089996,128.190002,104.622375,8325200
2015/2/12,129.660004,130.539993,129.449997,129.520004,105.70787,12548300
2015/2/11,129.699997,130.270004,128.960007,129.949997,106.0588,6506400
2015/2/10,130.139999,130.470001,129.440002,129.710007,105.862923,8290700
2015/2/9,131.970001,131.979996,130.75,130.75,106.711708,8025500
2015/2/6,132.050003,132.350006,130.589996,130.960007,106.883087,13685600
2015/2/5,134,134.229996,133.110001,133.320007,108.809227,8334600
2015/2/4,133.490005,134.990005,133.119995,134.800003,110.017159,11360400
2015/2/3,135.649994,135.789993,134.369995,134.570007,109.829399,14008700
2015/2/2,136.699997,137.919998,136.660004,137.479996,112.20443,13689900
2015/1/30,137.710007,138.5,137.179993,138.279999,112.629616,14871200
2015/1/29,136.119995,136.669998,135.460007,135.869995,110.666679,8881400
2015/1/28,134.75,137.410004,134.699997,136.770004,111.399719,12230300
2015/1/27,135.729996,136.130005,134.149994,134.570007,109.607811,8079600
2015/1/26,134.839996,135.190002,134.050003,134.360001,109.436813,5966500
2015/1/23,134.300003,135.119995,134.149994,134.770004,109.770714,7334600
2015/1/22,134,134.179993,132.279999,132.919998,108.263947,10200000
2015/1/21,135.199997,135.589996,132.960007,133.399994,108.654861,9803900
2015/1/20,134.130005,135.110001,134.070007,134.960007,109.925476,7758700
2015/1/16,134.330002,134.679993,133.029999,133.190002,108.483803,9390500
2015/1/15,132.850006,135.029999,132.679993,134.910004,109.884827,11454200
2015/1/14,133.720001,134.119995,132.699997,132.820007,108.182404,12324500
2015/1/13,131.389999,132.610001,131.139999,131.820007,107.367966,8260800
2015/1/12,131,132.309998,130.919998,131.820007,107.367966,6658100
2015/1/9,129.199997,131.110001,129.039993,131.070007,106.757065,9398800
2015/1/8,130.360001,130.369995,129.419998,129.649994,105.600433,8055300
2015/1/7,130.699997,131.970001,130.169998,131.389999,107.017685,9762900
2015/1/6,130.699997,132.490005,130.190002,131.649994,107.229469,18331300
2015/1/5,128.009995,129.630005,127.959999,129.320007,105.331673,9789500
2015/1/2,126.290001,127.660004,126.150002,127.32,103.70266,9432000
2014/12/31,125.699997,126.169998,125.650002,125.919998,102.56234,4993300
2014/12/30,125.980003,126.209999,125.529999,125.68,102.366859,4372600
2014/12/29,124.910004,125.660004,124.809998,125.339996,102.089951,4070700
2014/12/26,124.550003,124.589996,124.019997,124.410004,101.332481,2921300
2014/12/24,123.059998,124.059998,122.93,123.949997,100.957756,4871400
2014/12/23,125.449997,125.599998,123.489998,123.540001,100.41127,7406100
2014/12/22,125.449997,126.190002,125.32,126.040001,102.443237,4118800
2014/12/19,124.580002,125.949997,124.440002,125.870003,102.305008,7894500
2014/12/18,124.93,125.099998,124.199997,124.199997,100.947708,12758200
2014/12/17,126.910004,127.190002,125.699997,126.449997,102.776428,11558800
2014/12/16,127.360001,127.720001,126.360001,127.599998,103.711159,7426400
2014/12/15,125.639999,126.699997,125.43,126.040001,102.443237,9387400
2014/12/12,125.449997,126.349998,125.019997,126.300003,102.654503,9317400
2014/12/11,123.739998,124.610001,123.290001,124.610001,101.28096,7863500
2014/12/10,123.18,124.400002,123.080002,124.099998,100.866409,6439200
2014/12/9,123.599998,123.970001,122.959999,123.199997,100.134895,6639700
2014/12/8,121.419998,122.839996,121.139999,122.57,99.622818,6021800
2014/12/5,121.57,121.599998,120.519997,121.089996,98.419922,8030700
2014/12/4,120.75,121.800003,120.620003,121.800003,98.997025,4250500
2014/12/3,120.300003,120.800003,120.129997,120.790001,98.176064,4868600
2014/12/2,120.839996,120.849998,120.290001,120.32,97.794083,5757200
2014/12/1,122.68,122.809998,121.459999,121.5,98.753174,7728600
2014/11/28,122.129997,122.669998,122.129997,122.489998,99.332695,4562200
2014/11/26,121.639999,121.870003,121.470001,121.529999,98.554199,4339100
2014/11/25,120.370003,121.269997,120.309998,121.199997,98.28656,6770000
2014/11/24,119.669998,120.269997,119.550003,120.199997,97.475639,4033900
2014/11/21,119.57,120.160004,119.519997,120.099998,97.394508,3640100
2014/11/20,119.900002,119.949997,119.059998,119.379997,96.810638,5683600
2014/11/19,118.879997,119.580002,118.760002,118.760002,96.307884,5792500
2014/11/18,119.32,119.580002,119.160004,119.519997,96.92421,4471200
2014/11/17,119.779999,119.790001,118.879997,119.190002,96.656555,4726200
2014/11/14,118.839996,119.589996,118.68,119.489998,96.899826,5191200
2014/11/13,118.699997,119.18,118.440002,118.910004,96.429512,4475900
2014/11/12,119.199997,119.529999,118.449997,118.629997,96.2024,4040800
2014/11/11,118.480003,118.809998,118.339996,118.730003,96.283539,2416500
2014/11/10,119.580002,119.580002,118.559998,118.650002,96.218628,4787300
2014/11/7,118.720001,119.75,118.68,119.75,97.110703,8550500
2014/11/6,118.599998,118.93,118.309998,118.389999,96.00779,5901900
2014/11/5,118.910004,119.370003,118.82,119.160004,96.632233,4799600
2014/11/4,119.419998,119.910004,119.080002,119.330002,96.770111,3664800
2014/11/3,118.900002,119.160004,118.209999,118.959999,96.470078,9726600
2014/10/31,119.339996,119.709999,118.830002,119.25,96.470078,6664200
2014/10/30,120.32,120.459999,119.510002,119.559998,96.720833,7024400
2014/10/29,118.959999,119.82,118.419998,119.459999,96.639938,9105100
2014/10/28,119.480003,119.650002,119.080002,119.190002,96.421509,5141300
2014/10/27,119.889999,120.269997,119.660004,119.940002,97.028214,3391900
2014/10/24,119.93,120.410004,119.470001,119.720001,96.85025,5704900
2014/10/23,120.040001,120.18,119.059998,119.599998,96.753204,10936300
2014/10/22,120.470001,120.849998,120.220001,120.669998,97.618752,9260200
2014/10/21,120.839996,121.239998,120.529999,120.540001,97.513626,9754700
2014/10/20,121.779999,121.849998,120.940002,121.510002,98.298317,7742500
2014/10/17,121.190002,121.709999,120.480003,121.07,97.94239,8524300
2014/10/16,124.120003,124.129997,121.440002,121.75,98.492462,18096600
2014/10/15,124.580002,127.68,121.839996,122.529999,99.123497,37407500
2014/10/14,121.309998,121.779999,120.68,121.57,98.34687,11285400
2014/10/13,120.160004,121.169998,120.050003,120.779999,97.707787,6450700
2014/10/10,119.519997,120.080002,119.309998,120.050003,97.117271,8774400
